original_sentence,truncated_sentence
"With the Prior Analytics, Aristotle is credited with the earliest study of formal logic, and his conception of it was the dominant form of Western logic until 19th-century advances in mathematical logic.","With the Prior Analytics, Aristotle"
"With the abolition of slavery in the rebel states now a military objective, Union armies advancing south ""enable[d] thousands of slaves to escape to freedom"".",With the abolition of slavery
"With the advent of television, the awards from 1953 to 1957 took place simultaneously in Hollywood and New York, first at the NBC International Theatre (1953) and then at the NBC Century Theatre, after which the ceremony took place solely in Los Angeles.","With the advent of television,"
"With the assistance of the god Hermes (Argeiphontes), Hector's father Priam goes to Achilles' tent to plead with Achilles for the return of Hector's body so that he can be buried.",With the assistance of the
With the death of his son Edward in 1850 he more frequently expressed a dependence on God.,With the death of his
"With the exception of the area around Mobile and the Yazoo lands, what is now the lower one-third of Alabama was made part of the Mississippi Territory when it was organized in 1798.",With the exception of the
"With the loss of the study of ancient Greek in the early medieval Latin West, Aristotle was practically unknown there from  to  except through the Latin translation of the Organon made by Boethius.",With the loss of the
"With the rise of organised hierarchical bodies, scepticism toward authority also rose.",With the rise of organised
"Witness testimony, given decades afterward, showed a lack of any specific recollection of a romance between the two.","Witness testimony, given decades afterward,"
"Zeno
The philosopher Zeno of Elea centred one of his paradoxes on an imaginary footrace between ""swift-footed"" Achilles and a tortoise, by which he attempted to show that Achilles could not catch up to a tortoise with a head start, and therefore that motion and change were impossible.",Zeno The philosopher Zeno of
"Zeus and Poseidon had been rivals for Thetis's hand in marriage until Prometheus, the fore-thinker, warned Zeus of a prophecy (originally uttered by Themis, goddess of divine law) that Thetis would bear a son greater than his father.",Zeus and Poseidon had been
"Zeus' sister and wife Hera alludes to Thetis' chaste resistance to the advances of Zeus, pointing out that Thetis was so loyal to Hera's marriage bond that she coolly rejected the father of gods.",Zeus' sister and wife Hera
